store,item,hist_avg_daily_demand,lead_time_demand_P50,sigma_lead_time,safety_stock_90pct,reorder_point_90pct,safety_stock_95pct,reorder_point_95pct,safety_stock_99pct,reorder_point_99pct
1,1,19.77,207.9,12.47,15.99,223.88,20.51,228.41,29.01,236.9
1,2,52.46,525.88,21.38,27.4,553.29,35.16,561.05,49.72,575.6
1,3,32.86,317.8,19.76,25.33,343.13,32.51,350.3,45.96,363.76
1,4,19.77,203.56,13.24,16.97,220.53,21.78,225.33,30.79,234.35
1,5,16.47,165.29,10.72,13.74,179.03,17.63,182.92,24.93,190.22
1,6,52.41,514.54,21.1,27.05,541.59,34.71,549.25,49.08,563.62
1,7,52.17,520.95,21.95,28.14,549.09,36.11,557.06,51.06,572.0
1,8,68.59,702.96,25.6,32.82,735.79,42.12,745.08,59.55,762.52
1,9,45.99,453.75,17.54,22.49,476.23,28.85,482.6,40.8,494.55
1,10,65.44,645.99,24.48,31.38,677.37,40.27,686.26,56.94,702.93
1,11,62.31,608.0,24.17,30.98,638.98,39.76,647.76,56.22,664.22
1,12,62.38,642.99,24.74,31.72,674.71,40.7,683.69,57.55,700.54
1,13,75.23,745.87,24.21,31.04,776.91,39.83,785.7,56.32,802.19
1,14,52.45,510.93,21.76,27.9,538.82,35.79,546.72,50.61,561.54
1,15,78.66,787.14,27.15,34.81,821.95,44.66,831.8,63.15,850.29
1,16,23.09,231.4,15.32,19.64,251.05,25.21,256.61,35.64,267.05
1,17,29.63,284.44,17.74,22.74,307.18,29.18,313.62,41.27,325.7
1,18,75.35,781.56,27.24,34.92,816.48,44.81,826.37,63.36,844.92
1,19,36.17,372.6,17.82,22.84,395.44,29.31,401.91,41.44,414.04
1,20,42.44,445.06,24.76,31.75,476.81,40.74,485.8,57.6,502.66
